"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"6_NFRIEND","non ha amici","THV","valori in migliaia","9","totale","Y_GE6","6 anni e più","2022","2022",997,,
"6_NFRIEND","non ha amici","THV","valori in migliaia","9","totale","Y15-17","15-17 anni","2022","2022",6,,
"6_NFRIEND","non ha amici","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",31,,
"6_NFRIEND","non ha amici","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",69,,
"6_NFRIEND","non ha amici","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",97,,
"6_NFRIEND","non ha amici","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",155,,
"6_NFRIEND","non ha amici","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",97,,
"6_NFRIEND","non ha amici","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",80,,
"6_NFRIEND","non ha amici","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",186,,
"6_NFRIEND","non ha amici","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",260,,
"6_NFRIEND","non ha amici","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",2,,
"6_NFRIEND","non ha amici","THV","valori in migliaia","9","totale","Y6-10","6-10 anni","2022","2022",7,,
"6_NFRIEND","non ha amici","THV","valori in migliaia","9","totale","Y11-14","11-14 anni","2022","2022",7,,
"6_GE1PWEEK","più di una volta a settimana","THV","valori in migliaia","9","totale","Y15-17","15-17 anni","2022","2022",656,,
"6_STIM_YEAR","qualche volta l'anno","THV","valori in migliaia","9","totale","Y15-17","15-17 anni","2022","2022",29,,
"6_EVERYD","tutti i giorni","THV","valori in migliaia","9","totale","Y_GE6","6 anni e più","2022","2022",6067,,
"6_STIM_WEEK","qualche volta al mese","THV","valori in migliaia","9","totale","Y_GE6","6 anni e più","2022","2022",12265,,
"6_1PWEEK","una volta a settimana","THV","valori in migliaia","9","totale","Y15-17","15-17 anni","2022","2022",295,,
"6_NEVER","mai","THV","valori in migliaia","9","totale","Y15-17","15-17 anni","2022","2022",21,,
"6_1PWEEK","una volta a settimana","THV","valori in migliaia","9","totale","Y_GE6","6 anni e più","2022","2022",12238,,
"6_NEVER","mai","THV","valori in migliaia","9","totale","Y_GE6","6 anni e più","2022","2022",3858,,
"6_GE1PWEEK","più di una volta a settimana","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",830,,
"6_GE1PWEEK","più di una volta a settimana","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",1393,,
"6_STIM_YEAR","qualche volta l'anno","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",65,,
"6_EVERYD","tutti i giorni","THV","valori in migliaia","9","totale","Y15-17","15-17 anni","2022","2022",530,,
"6_STIM_WEEK","qualche volta al mese","THV","valori in migliaia","9","totale","Y15-17","15-17 anni","2022","2022",146,,
"6_GE1PWEEK","più di una volta a settimana","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",1590,,
"6_GE1PWEEK","più di una volta a settimana","THV","valori in migliaia","9","totale","Y_GE6","6 anni e più","2022","2022",13755,,
"6_STIM_YEAR","qualche volta l'anno","THV","valori in migliaia","9","totale","Y_GE6","6 anni e più","2022","2022",6857,,
"6_NEVER","mai","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",170,,
"6_EVERYD","tutti i giorni","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",658,,
"6_STIM_WEEK","qualche volta al mese","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",1113,,
"6_EVERYD","tutti i giorni","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",405,,
"6_STIM_WEEK","qualche volta al mese","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",1981,,
"6_GE1PWEEK","più di una volta a settimana","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",2185,,
"6_STIM_YEAR","qualche volta l'anno","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",331,,
"6_1PWEEK","una volta a settimana","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",1143,,
"6_STIM_YEAR","qualche volta l'anno","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",795,,
"6_EVERYD","tutti i giorni","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",302,,
"6_STIM_WEEK","qualche volta al mese","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",1060,,
"6_EVERYD","tutti i giorni","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",648,,
"6_STIM_WEEK","qualche volta al mese","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",234,,
"6_EVERYD","tutti i giorni","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",444,,
"6_STIM_WEEK","qualche volta al mese","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",2774,,
"6_1PWEEK","una volta a settimana","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",542,,
"6_NEVER","mai","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",47,,
"6_1PWEEK","una volta a settimana","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",2382,,
"6_NEVER","mai","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",519,,
"6_GE1PWEEK","più di una volta a settimana","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",1071,,
"6_STIM_YEAR","qualche volta l'anno","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",1460,,
"6_GE1PWEEK","più di una volta a settimana","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",519,,
"6_STIM_YEAR","qualche volta l'anno","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",17,,
"6_GE1PWEEK","più di una volta a settimana","THV","valori in migliaia","9","totale","Y6-10","6-10 anni","2022","2022",776,,
"6_STIM_YEAR","qualche volta l'anno","THV","valori in migliaia","9","totale","Y6-10","6-10 anni","2022","2022",119,,
"6_1PWEEK","una volta a settimana","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",901,,
"6_NEVER","mai","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",284,,
"6_1PWEEK","una volta a settimana","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",1675,,
"6_EVERYD","tutti i giorni","THV","valori in migliaia","9","totale","Y11-14","11-14 anni","2022","2022",681,,
"6_STIM_WEEK","qualche volta al mese","THV","valori in migliaia","9","totale","Y11-14","11-14 anni","2022","2022",242,,
"6_1PWEEK","una volta a settimana","THV","valori in migliaia","9","totale","Y6-10","6-10 anni","2022","2022",458,,
"6_GE1PWEEK","più di una volta a settimana","THV","valori in migliaia","9","totale","Y11-14","11-14 anni","2022","2022",777,,
"6_EVERYD","tutti i giorni","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",549,,
"6_STIM_WEEK","qualche volta al mese","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",1618,,
"6_1PWEEK","una volta a settimana","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",1962,,
"6_NEVER","mai","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",297,,
"6_STIM_WEEK","qualche volta al mese","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",67,,
"6_STIM_YEAR","qualche volta l'anno","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",873,,
"6_EVERYD","tutti i giorni","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",215,,
"6_STIM_WEEK","qualche volta al mese","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",1346,,
"6_NEVER","mai","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",265,,
"6_GE1PWEEK","più di una volta a settimana","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",778,,
"6_STIM_YEAR","qualche volta l'anno","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",662,,
"6_GE1PWEEK","più di una volta a settimana","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",1736,,
"6_STIM_YEAR","qualche volta l'anno","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",1308,,
"6_1PWEEK","una volta a settimana","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",951,,
"6_NEVER","mai","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",1496,,
"6_EVERYD","tutti i giorni","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",382,,
"6_EVERYD","tutti i giorni","THV","valori in migliaia","9","totale","Y6-10","6-10 anni","2022","2022",741,,
"6_STIM_WEEK","qualche volta al mese","THV","valori in migliaia","9","totale","Y6-10","6-10 anni","2022","2022",350,,
"6_1PWEEK","una volta a settimana","THV","valori in migliaia","9","totale","Y11-14","11-14 anni","2022","2022",445,,
"6_NEVER","mai","THV","valori in migliaia","9","totale","Y11-14","11-14 anni","2022","2022",41,,
"6_1PWEEK","una volta a settimana","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",1297,,
"6_NEVER","mai","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",614,,
"6_1PWEEK","una volta a settimana","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",186,,
"6_NEVER","mai","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",13,,
"6_NEVER","mai","THV","valori in migliaia","9","totale","Y6-10","6-10 anni","2022","2022",90,,
"6_GE1PWEEK","più di una volta a settimana","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",1442,,
"6_STIM_YEAR","qualche volta l'anno","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",1145,,
"6_STIM_YEAR","qualche volta l'anno","THV","valori in migliaia","9","totale","Y11-14","11-14 anni","2022","2022",54,,
"6_EVERYD","tutti i giorni","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",512,,
"6_STIM_WEEK","qualche volta al mese","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",1335,,
